id,factory_name,factory_code,date,po_number,style_number,color_code,ship_id,po_type,po_quantity,wip8_outputs,tqc3_pass_qty,wip8_po_status_increase,fg10_po_status_increase,fg14_po_status_increase,wip8_po_statu_completion_quantity,fg10_po_statu_completion_quantity,fg14_po_statu_completion_quantity
CN_ZS_20260505_CN_ZS-PO-0018_WHT_SH01,中国中山厂,CN_ZS,2026-05-05,CN_ZS-PO-0018,ST001,WHT,SH01,FOB,3000,152,152,152,115,45,152,115,45
CN_ZS_20260505_CN_ZS-PO-0019_BLK_SH01,中国中山厂,CN_ZS,2026-05-05,CN_ZS-PO-0019,ST001,BLK,SH01,FOB,1000,168,168,168,101,51,341,246,131
CN_ZS_20260505_CN_ZS-PO-0023_TEA_SH10,中国中山厂,CN_ZS,2026-05-05,CN_ZS-PO-0023,ST007,TEA,SH10,CMT,3000,171,171,171,74,39,705,382,232
CN_ZS_20260505_CN_ZS-PO-0025_WHT_SH05,中国中山厂,CN_ZS,2026-05-05,CN_ZS-PO-0025,ST003,WHT,SH05,FOB,8000,165,165,165,116,62,165,116,62
CN_ZS_20260506_CN_ZS-PO-0002_BLK_SH04,中国中山厂,CN_ZS,2026-05-06,CN_ZS-PO-0002,ST003,BLK,SH04,FOB,8000,177,177,177,123,91,710,560,350
CN_ZS_20260506_CN_ZS-PO-0003_NVY_SH10,中国中山厂,CN_ZS,2026-05-06,CN_ZS-PO-0003,ST007,NVY,SH10,CMT,2000,165,165,165,-36,28,492,186,186
CN_ZS_20260506_CN_ZS-PO-0005_PNK_SH07,中国中山厂,CN_ZS,2026-05-06,CN_ZS-PO-0005,ST005,PNK,SH07,CMT,1000,158,158,158,99,32,318,177,57
CN_ZS_20260506_CN_ZS-PO-0007_BLK_SH01,中国中山厂,CN_ZS,2026-05-06,CN_ZS-PO-0007,ST001,BLK,SH01,CMT,8000,182,172,172,106,39,172,106,39
CN_ZS_20260506_CN_ZS-PO-0008_BLK_SH01,中国中山厂,CN_ZS,2026-05-06,CN_ZS-PO-0008,ST001,BLK,SH01,FOB,800,180,180,180,138,102,342,221,151
CN_ZS_20260506_CN_ZS-PO-0009_NVY_SH06,中国中山厂,CN_ZS,2026-05-06,CN_ZS-PO-0009,ST004,NVY,SH06,FOB,800,111,111,111,82,33,746,381,227
CN_ZS_20260506_CN_ZS-PO-0010_RED_SH02,中国中山厂,CN_ZS,2026-05-06,CN_ZS-PO-0010,ST001,RED,SH02,FOB,5000,178,178,178,141,43,528,264,156
CN_ZS_20260506_CN_ZS-PO-0011_TEA_SH10,中国中山厂,CN_ZS,2026-05-06,CN_ZS-PO-0011,ST007,TEA,SH10,FOB,1000,177,177,177,122,47,501,357,152
CN_ZS_20260506_CN_ZS-PO-0013_WHT_SH08,中国中山厂,CN_ZS,2026-05-06,CN_ZS-PO-0013,ST005,WHT,SH08,FOB,5000,193,183,183,158,74,358,281,122
CN_ZS_20260506_CN_ZS-PO-0014_NVY_SH06,中国中山厂,CN_ZS,2026-05-06,CN_ZS-PO-0014,ST004,NVY,SH06,CMT,8000,173,173,173,113,79,352,189,130
CN_ZS_20260506_CN_ZS-PO-0015_YLW_SH04,中国中山厂,CN_ZS,2026-05-06,CN_ZS-PO-0015,ST003,YLW,SH04,FOB,1000,161,161,161,128,55,331,257,112
CN_ZS_20260506_CN_ZS-PO-0016_NVY_SH10,中国中山厂,CN_ZS,2026-05-06,CN_ZS-PO-0016,ST007,NVY,SH10,CMT,1500,181,181,181,98,53,357,220,115
CN_ZS_20260506_CN_ZS-PO-0017_RED_SH09,中国中山厂,CN_ZS,2026-05-06,CN_ZS-PO-0017,ST006,RED,SH09,FOB,1000,161,161,161,99,40,161,99,40
CN_ZS_20260506_CN_ZS-PO-0025_WHT_SH05,中国中山厂,CN_ZS,2026-05-06,CN_ZS-PO-0025,ST003,WHT,SH05,FOB,8000,173,173,173,116,67,338,232,129
CN_ZS_20260507_CN_ZS-PO-0001_WHT_SH01,中国中山厂,CN_ZS,2026-05-07,CN_ZS-PO-0001,ST001,WHT,SH01,CMT,5000,164,164,164,140,86,164,140,86
CN_ZS_20260507_CN_ZS-PO-0002_BLK_SH04,中国中山厂,CN_ZS,2026-05-07,CN_ZS-PO-0002,ST003,BLK,SH04,FOB,8000,151,151,151,90,35,861,650,385
CN_ZS_20260507_CN_ZS-PO-0003_NVY_SH10,中国中山厂,CN_ZS,2026-05-07,CN_ZS-PO-0003,ST007,NVY,SH10,CMT,2000,169,169,169,130,66,661,316,252
CN_ZS_20260507_CN_ZS-PO-0004_BLK_SH01,中国中山厂,CN_ZS,2026-05-07,CN_ZS-PO-0004,ST001,BLK,SH01,CMT,2000,152,152,152,129,48,612,319,316
CN_ZS_20260507_CN_ZS-PO-0007_BLK_SH01,中国中山厂,CN_ZS,2026-05-07,CN_ZS-PO-0007,ST001,BLK,SH01,CMT,8000,197,197,177,100,46,349,206,85
CN_ZS_20260507_CN_ZS-PO-0009_NVY_SH06,中国中山厂,CN_ZS,2026-05-07,CN_ZS-PO-0009,ST004,NVY,SH06,FOB,800,61,61,61,45,22,807,426,249
CN_ZS_20260507_CN_ZS-PO-0011_TEA_SH10,中国中山厂,CN_ZS,2026-05-07,CN_ZS-PO-0011,ST007,TEA,SH10,FOB,1000,116,116,116,102,79,617,459,231
CN_ZS_20260507_CN_ZS-PO-0013_WHT_SH08,中国中山厂,CN_ZS,2026-05-07,CN_ZS-PO-0013,ST005,WHT,SH08,FOB,5000,174,174,174,149,57,532,430,179
CN_ZS_20260507_CN_ZS-PO-0014_NVY_SH06,中国中山厂,CN_ZS,2026-05-07,CN_ZS-PO-0014,ST004,NVY,SH06,CMT,8000,164,164,-19,-9,-6,333,180,124
CN_ZS_20260507_CN_ZS-PO-0015_YLW_SH04,中国中山厂,CN_ZS,2026-05-07,CN_ZS-PO-0015,ST003,YLW,SH04,FOB,1000,150,150,150,-19,88,481,238,200
CN_ZS_20260507_CN_ZS-PO-0017_RED_SH09,中国中山厂,CN_ZS,2026-05-07,CN_ZS-PO-0017,ST006,RED,SH09,FOB,1000,169,169,169,-20,39,330,79,79
CN_ZS_20260507_CN_ZS-PO-0020_GRY_SH06,中国中山厂,CN_ZS,2026-05-07,CN_ZS-PO-0020,ST004,GRY,SH06,FOB,8000,183,183,183,82,59,183,82,59
CN_ZS_20260507_CN_ZS-PO-0021_NVY_SH06,中国中山厂,CN_ZS,2026-05-07,CN_ZS-PO-0021,ST004,NVY,SH06,FOB,2000,172,172,172,103,47,519,336,192
CN_ZS_20260507_CN_ZS-PO-0023_TEA_SH10,中国中山厂,CN_ZS,2026-05-07,CN_ZS-PO-0023,ST007,TEA,SH10,CMT,3000,152,152,152,92,48,857,474,280
CN_ZS_20260507_CN_ZS-PO-0025_WHT_SH05,中国中山厂,CN_ZS,2026-05-07,CN_ZS-PO-0025,ST003,WHT,SH05,FOB,8000,164,164,164,70,24,502,302,153
CN_ZS_20260508_CN_ZS-PO-0001_WHT_SH01,中国中山厂,CN_ZS,2026-05-08,CN_ZS-PO-0001,ST001,WHT,SH01,CMT,5000,167,167,167,84,37,331,224,123
CN_ZS_20260508_CN_ZS-PO-0004_BLK_SH01,中国中山厂,CN_ZS,2026-05-08,CN_ZS-PO-0004,ST001,BLK,SH01,CMT,2000,176,176,176,78,40,788,397,356
CN_ZS_20260508_CN_ZS-PO-0005_PNK_SH07,中国中山厂,CN_ZS,2026-05-08,CN_ZS-PO-0005,ST005,PNK,SH07,CMT,1000,176,176,176,137,50,494,314,107
CN_ZS_20260508_CN_ZS-PO-0006_GRN_SH03,中国中山厂,CN_ZS,2026-05-08,CN_ZS-PO-0006,ST002,GRN,SH03,CMT,1500,175,175,175,124,39,175,124,39
CN_ZS_20260508_CN_ZS-PO-0007_BLK_SH01,中国中山厂,CN_ZS,2026-05-08,CN_ZS-PO-0007,ST001,BLK,SH01,CMT,8000,185,185,185,-12,61,534,194,146
CN_ZS_20260508_CN_ZS-PO-0008_BLK_SH01,中国中山厂,CN_ZS,2026-05-08,CN_ZS-PO-0008,ST001,BLK,SH01,FOB,800,179,179,179,119,91,521,340,242
CN_ZS_20260508_CN_ZS-PO-0010_RED_SH02,中国中山厂,CN_ZS,2026-05-08,CN_ZS-PO-0010,ST001,RED,SH02,FOB,5000,183,183,183,116,43,711,380,199
CN_ZS_20260508_CN_ZS-PO-0012_RED_SH09,中国中山厂,CN_ZS,2026-05-08,CN_ZS-PO-0012,ST006,RED,SH09,FOB,3000,183,183,183,116,46,183,116,46
CN_ZS_20260508_CN_ZS-PO-0013_WHT_SH08,中国中山厂,CN_ZS,2026-05-08,CN_ZS-PO-0013,ST005,WHT,SH08,FOB,5000,160,160,160,67,33,692,497,212
CN_ZS_20260508_CN_ZS-PO-0016_NVY_SH10,中国中山厂,CN_ZS,2026-05-08,CN_ZS-PO-0016,ST007,NVY,SH10,CMT,1500,166,166,166,100,76,523,320,191
CN_ZS_20260508_CN_ZS-PO-0017_RED_SH09,中国中山厂,CN_ZS,2026-05-08,CN_ZS-PO-0017,ST006,RED,SH09,FOB,1000,182,182,182,-12,60,512,67,139
CN_ZS_20260508_CN_ZS-PO-0019_BLK_SH01,中国中山厂,CN_ZS,2026-05-08,CN_ZS-PO-0019,ST001,BLK,SH01,FOB,1000,148,148,148,91,61,489,337,192
CN_ZS_20260508_CN_ZS-PO-0021_NVY_SH06,中国中山厂,CN_ZS,2026-05-08,CN_ZS-PO-0021,ST004,NVY,SH06,FOB,2000,194,194,194,85,64,713,421,256
CN_ZS_20260508_CN_ZS-PO-0022_NVY_SH10,中国中山厂,CN_ZS,2026-05-08,CN_ZS-PO-0022,ST007,NVY,SH10,CMT,5000,171,171,171,123,55,171,123,55
CN_ZS_20260508_CN_ZS-PO-0023_TEA_SH10,中国中山厂,CN_ZS,2026-05-08,CN_ZS-PO-0023,ST007,TEA,SH10,CMT,3000,194,194,194,151,82,1051,625,362
CN_ZS_20260508_CN_ZS-PO-0024_BLK_SH04,中国中山厂,CN_ZS,2026-05-08,CN_ZS-PO-0024,ST003,BLK,SH04,FOB,3000,181,181,181,133,86,181,133,86
CN_ZS_20260508_CN_ZS-PO-0025_WHT_SH05,中国中山厂,CN_ZS,2026-05-08,CN_ZS-PO-0025,ST003,WHT,SH05,FOB,8000,162,162,162,129,93,664,431,246
CN_ZS_20260509_CN_ZS-PO-0001_WHT_SH01,中国中山厂,CN_ZS,2026-05-09,CN_ZS-PO-0001,ST001,WHT,SH01,CMT,5000,154,154,154,122,55,485,346,178
CN_ZS_20260509_CN_ZS-PO-0004_BLK_SH01,中国中山厂,CN_ZS,2026-05-09,CN_ZS-PO-0004,ST001,BLK,SH01,CMT,2000,154,154,154,121,71,942,518,427
CN_ZS_20260509_CN_ZS-PO-0005_PNK_SH07,中国中山厂,CN_ZS,2026-05-09,CN_ZS-PO-0005,ST005,PNK,SH07,CMT,1000,150,150,150,103,63,644,417,170
CN_ZS_20260509_CN_ZS-PO-0006_GRN_SH03,中国中山厂,CN_ZS,2026-05-09,CN_ZS-PO-0006,ST002,GRN,SH03,CMT,1500,179,179,179,87,58,354,211,97
CN_ZS_20260509_CN_ZS-PO-0008_BLK_SH01,中国中山厂,CN_ZS,2026-05-09,CN_ZS-PO-0008,ST001,BLK,SH01,FOB,800,113,113,133,85,57,654,425,299
CN_ZS_20260509_CN_ZS-PO-0010_RED_SH02,中国中山厂,CN_ZS,2026-05-09,CN_ZS-PO-0010,ST001,RED,SH02,FOB,5000,182,182,182,121,76,893,501,275
CN_ZS_20260509_CN_ZS-PO-0011_TEA_SH10,中国中山厂,CN_ZS,2026-05-09,CN_ZS-PO-0011,ST007,TEA,SH10,FOB,1000,110,110,110,64,33,727,523,264
CN_ZS_20260509_CN_ZS-PO-0012_RED_SH09,中国中山厂,CN_ZS,2026-05-09,CN_ZS-PO-0012,ST006,RED,SH09,FOB,3000,171,171,171,79,47,354,195,93
CN_ZS_20260509_CN_ZS-PO-0014_NVY_SH06,中国中山厂,CN_ZS,2026-05-09,CN_ZS-PO-0014,ST004,NVY,SH06,CMT,8000,167,167,167,144,70,500,324,194
CN_ZS_20260509_CN_ZS-PO-0015_YLW_SH04,中国中山厂,CN_ZS,2026-05-09,CN_ZS-PO-0015,ST003,YLW,SH04,FOB,1000,155,155,155,131,98,636,369,298
CN_ZS_20260509_CN_ZS-PO-0017_RED_SH09,中国中山厂,CN_ZS,2026-05-09,CN_ZS-PO-0017,ST006,RED,SH09,FOB,1000,111,111,111,44,33,623,111,172
CN_ZS_20260509_CN_ZS-PO-0018_WHT_SH01,中国中山厂,CN_ZS,2026-05-09,CN_ZS-PO-0018,ST001,WHT,SH01,FOB,3000,170,170,170,147,79,322,262,124
CN_ZS_20260509_CN_ZS-PO-0019_BLK_SH01,中国中山厂,CN_ZS,2026-05-09,CN_ZS-PO-0019,ST001,BLK,SH01,FOB,1000,143,143,143,117,73,632,454,265
CN_ZS_20260509_CN_ZS-PO-0020_GRY_SH06,中国中山厂,CN_ZS,2026-05-09,CN_ZS-PO-0020,ST004,GRY,SH06,FOB,8000,157,157,157,108,64,340,190,123
CN_ZS_20260509_CN_ZS-PO-0021_NVY_SH06,中国中山厂,CN_ZS,2026-05-09,CN_ZS-PO-0021,ST004,NVY,SH06,FOB,2000,169,169,169,149,98,882,570,354
CN_ZS_20260509_CN_ZS-PO-0022_NVY_SH10,中国中山厂,CN_ZS,2026-05-09,CN_ZS-PO-0022,ST007,NVY,SH10,CMT,5000,178,178,178,109,59,349,232,114
CN_ZS_20260509_CN_ZS-PO-0025_WHT_SH05,中国中山厂,CN_ZS,2026-05-09,CN_ZS-PO-0025,ST003,WHT,SH05,FOB,8000,202,202,202,181,71,866,612,317
CN_ZS_20260511_CN_ZS-PO-0004_BLK_SH01,中国中山厂,CN_ZS,2026-05-11,CN_ZS-PO-0004,ST001,BLK,SH01,CMT,2000,183,183,183,-13,29,1125,505,456
CN_ZS_20260511_CN_ZS-PO-0005_PNK_SH07,中国中山厂,CN_ZS,2026-05-11,CN_ZS-PO-0005,ST005,PNK,SH07,CMT,1000,121,121,121,69,40,765,486,210
CN_ZS_20260511_CN_ZS-PO-0006_GRN_SH03,中国中山厂,CN_ZS,2026-05-11,CN_ZS-PO-0006,ST002,GRN,SH03,CMT,1500,176,176,-57,-27,-12,297,184,85
CN_ZS_20260511_CN_ZS-PO-0008_BLK_SH01,中国中山厂,CN_ZS,2026-05-11,CN_ZS-PO-0008,ST001,BLK,SH01,FOB,800,57,57,57,50,39,711,475,338
CN_ZS_20260511_CN_ZS-PO-0010_RED_SH02,中国中山厂,CN_ZS,2026-05-11,CN_ZS-PO-0010,ST001,RED,SH02,FOB,5000,162,162,162,86,57,1055,587,332
CN_ZS_20260511_CN_ZS-PO-0011_TEA_SH10,中国中山厂,CN_ZS,2026-05-11,CN_ZS-PO-0011,ST007,TEA,SH10,FOB,1000,122,122,122,66,35,849,589,299
CN_ZS_20260511_CN_ZS-PO-0012_RED_SH09,中国中山厂,CN_ZS,2026-05-11,CN_ZS-PO-0012,ST006,RED,SH09,FOB,3000,157,157,157,71,48,511,266,141
CN_ZS_20260511_CN_ZS-PO-0014_NVY_SH06,中国中山厂,CN_ZS,2026-05-11,CN_ZS-PO-0014,ST004,NVY,SH06,CMT,8000,158,158,158,124,38,658,448,232
CN_ZS_20260511_CN_ZS-PO-0015_YLW_SH04,中国中山厂,CN_ZS,2026-05-11,CN_ZS-PO-0015,ST003,YLW,SH04,FOB,1000,118,118,118,71,32,754,440,330
CN_ZS_20260511_CN_ZS-PO-0016_NVY_SH10,中国中山厂,CN_ZS,2026-05-11,CN_ZS-PO-0016,ST007,NVY,SH10,CMT,1500,170,170,170,92,61,693,412,252
CN_ZS_20260511_CN_ZS-PO-0017_RED_SH09,中国中山厂,CN_ZS,2026-05-11,CN_ZS-PO-0017,ST006,RED,SH09,FOB,1000,121,121,121,85,52,744,196,224
CN_ZS_20260511_CN_ZS-PO-0018_WHT_SH01,中国中山厂,CN_ZS,2026-05-11,CN_ZS-PO-0018,ST001,WHT,SH01,FOB,3000,179,179,179,152,111,501,414,235
CN_ZS_20260511_CN_ZS-PO-0019_BLK_SH01,中国中山厂,CN_ZS,2026-05-11,CN_ZS-PO-0019,ST001,BLK,SH01,FOB,1000,98,98,98,62,33,730,516,298
CN_ZS_20260511_CN_ZS-PO-0020_GRY_SH06,中国中山厂,CN_ZS,2026-05-11,CN_ZS-PO-0020,ST004,GRY,SH06,FOB,8000,171,171,171,114,89,511,304,212
CN_ZS_20260511_CN_ZS-PO-0023_TEA_SH10,中国中山厂,CN_ZS,2026-05-11,CN_ZS-PO-0023,ST007,TEA,SH10,CMT,3000,179,179,179,104,38,1230,729,400
CN_ZS_20260511_CN_ZS-PO-0024_BLK_SH04,中国中山厂,CN_ZS,2026-05-11,CN_ZS-PO-0024,ST003,BLK,SH04,FOB,3000,179,179,179,144,68,360,277,154
CN_ZS_20260511_CN_ZS-PO-0025_WHT_SH05,中国中山厂,CN_ZS,2026-05-11,CN_ZS-PO-0025,ST003,WHT,SH05,FOB,8000,165,165,165,119,62,1031,731,379
CN_ZS_20260512_CN_ZS-PO-0001_WHT_SH01,中国中山厂,CN_ZS,2026-05-12,CN_ZS-PO-0001,ST001,WHT,SH01,CMT,5000,170,170,170,108,70,655,454,248
CN_ZS_20260512_CN_ZS-PO-0002_BLK_SH04,中国中山厂,CN_ZS,2026-05-12,CN_ZS-PO-0002,ST003,BLK,SH04,FOB,8000,183,183,183,99,73,1044,749,458
CN_ZS_20260512_CN_ZS-PO-0003_NVY_SH10,中国中山厂,CN_ZS,2026-05-12,CN_ZS-PO-0003,ST007,NVY,SH10,CMT,2000,172,172,172,115,38,833,431,290
CN_ZS_20260512_CN_ZS-PO-0006_GRN_SH03,中国中山厂,CN_ZS,2026-05-12,CN_ZS-PO-0006,ST002,GRN,SH03,CMT,1500,177,177,177,84,43,474,268,128
CN_ZS_20260512_CN_ZS-PO-0007_BLK_SH01,中国中山厂,CN_ZS,2026-05-12,CN_ZS-PO-0007,ST001,BLK,SH01,CMT,8000,176,176,196,107,46,730,301,192
CN_ZS_20260512_CN_ZS-PO-0008_BLK_SH01,中国中山厂,CN_ZS,2026-05-12,CN_ZS-PO-0008,ST001,BLK,SH01,FOB,800,50,50,50,44,26,761,519,364
CN_ZS_20260512_CN_ZS-PO-0009_NVY_SH06,中国中山厂,CN_ZS,2026-05-12,CN_ZS-PO-0009,ST004,NVY,SH06,FOB,800,60,60,60,26,15,867,452,264
CN_ZS_20260512_CN_ZS-PO-0010_RED_SH02,中国中山厂,CN_ZS,2026-05-12,CN_ZS-PO-0010,ST001,RED,SH02,FOB,5000,169,169,169,116,45,1224,703,377
CN_ZS_20260512_CN_ZS-PO-0011_TEA_SH10,中国中山厂,CN_ZS,2026-05-12,CN_ZS-PO-0011,ST007,TEA,SH10,FOB,1000,48,48,28,14,4,877,603,303
CN_ZS_20260512_CN_ZS-PO-0012_RED_SH09,中国中山厂,CN_ZS,2026-05-12,CN_ZS-PO-0012,ST006,RED,SH09,FOB,3000,174,174,174,127,42,685,393,183
CN_ZS_20260512_CN_ZS-PO-0013_WHT_SH08,中国中山厂,CN_ZS,2026-05-12,CN_ZS-PO-0013,ST005,WHT,SH08,FOB,5000,173,173,173,99,77,865,596,289
CN_ZS_20260512_CN_ZS-PO-0016_NVY_SH10,中国中山厂,CN_ZS,2026-05-12,CN_ZS-PO-0016,ST007,NVY,SH10,CMT,1500,166,166,166,123,67,859,535,319
CN_ZS_20260512_CN_ZS-PO-0017_RED_SH09,中国中山厂,CN_ZS,2026-05-12,CN_ZS-PO-0017,ST006,RED,SH09,FOB,1000,105,105,105,70,26,849,266,250
CN_ZS_20260512_CN_ZS-PO-0019_BLK_SH01,中国中山厂,CN_ZS,2026-05-12,CN_ZS-PO-0019,ST001,BLK,SH01,FOB,1000,114,114,114,68,43,844,584,341
CN_ZS_20260512_CN_ZS-PO-0021_NVY_SH06,中国中山厂,CN_ZS,2026-05-12,CN_ZS-PO-0021,ST004,NVY,SH06,FOB,2000,159,159,159,99,56,1041,669,410
CN_ZS_20260512_CN_ZS-PO-0022_NVY_SH10,中国中山厂,CN_ZS,2026-05-12,CN_ZS-PO-0022,ST007,NVY,SH10,CMT,5000,164,164,164,115,57,513,347,171
CN_ZS_20260512_CN_ZS-PO-0023_TEA_SH10,中国中山厂,CN_ZS,2026-05-12,CN_ZS-PO-0023,ST007,TEA,SH10,CMT,3000,185,185,185,153,116,1415,882,516
CN_ZS_20260513_CN_ZS-PO-0001_WHT_SH01,中国中山厂,CN_ZS,2026-05-13,CN_ZS-PO-0001,ST001,WHT,SH01,CMT,5000,165,165,165,72,24,820,526,272
CN_ZS_20260513_CN_ZS-PO-0002_BLK_SH04,中国中山厂,CN_ZS,2026-05-13,CN_ZS-PO-0002,ST003,BLK,SH04,FOB,8000,176,176,176,123,86,1220,872,544
CN_ZS_20260513_CN_ZS-PO-0003_NVY_SH10,中国中山厂,CN_ZS,2026-05-13,CN_ZS-PO-0003,ST007,NVY,SH10,CMT,2000,179,179,179,157,107,1012,588,397
CN_ZS_20260513_CN_ZS-PO-0004_BLK_SH01,中国中山厂,CN_ZS,2026-05-13,CN_ZS-PO-0004,ST001,BLK,SH01,CMT,2000,111,101,101,-4,48,1226,501,504
CN_ZS_20260513_CN_ZS-PO-0005_PNK_SH07,中国中山厂,CN_ZS,2026-05-13,CN_ZS-PO-0005,ST005,PNK,SH07,CMT,1000,117,117,117,58,43,882,544,253
